Syndrome;Dispersers;Species
zoochory;mammals;Inga marginata
zoochory;mammals;Inga vera
zoochory;birds;Ixora brevifolia
autochory;NA;Metrodorea nigra
autochory;NA;Metrodorea stipularis
zoochory;NA;Jacaranda puberula
zoochory;mammals;Jacaratia spinosa
zoochory;mammals;Joannesia princeps
zoochory;birds;Lacistema hasslerianum
zoochory;NA;Lafoensia pacari
zoochory;NA;Lamanonia ternata
zoochory;birds;Lantana camara
zoochory;NA;Libidibia ferrea
zoochory;mammals;Licania tomentosa
zoochory;birds;Licaria armeniaca
zoochory;birds;Lithraea molleoides
zoochory;other animals;Lithraea molleoides
zoochory;NA;Luehea divaricata
anemochory;NA;Myracrodruon urundeuva
zoochory;NA;Luehea grandiflora
zoochory;NA;Mabea fistulifera
zoochory;NA;Machaerium brasiliense
zoochory;mixed;Maclura tinctoria
zoochory;birds;Maclura tinctoria
zoochory;NA;Mangifera indica
zoochory;birds;Maprounea guianensis
zoochory;birds;Margaritaria nobilis
zoochory;mammals;Marlierea suaveolens
zoochory;mixed;Marlierea suaveolens
zoochory;birds;Matayba elaeagnoides
zoochory;birds;Matayba elaeognoides
zoochory;NA;Matayba elaeognoides
zoochory;birds;Matayba guianensis
anemochory;NA;Myroxylon peruiferum
zoochory;birds;Matayba intermedia
zoochory;NA;Matayba obovata
zoochory;birds;Melia azedarach
zoochory;NA;Metrodorea nigra
zoochory;birds;Miconia albicans
zoochory;mammals;Miconia albicans
zoochory;mixed;Miconia cabucu
zoochory;NA;Miconia cabucu
zoochory;birds;Miconia cinerascens
zoochory;mixed;Miconia cubatanensis
zoochory;birds;Miconia cubatanensis
zoochory;birds;Miconia fasciculata
zoochory;birds;Miconia latecrenata
zoochory;birds;Miconia lepidota
zoochory;mammals;Micropholis crassipedicellata
zoochory;birds;Mollinedia glabra
zoochory;birds;Mollinedia schottiana
zoochory;birds;Mollinedia widgrenii
zoochory;birds;Monteverdia aquifolia
zoochory;birds;Monteverdia evonymoides
zoochory;birds;Monteverdia gonoclada
zoochory;birds;Monteverdia schummaniana
anemochory;NA;Parapiptadenia rigida
anemochory;NA;Cordia americana
anemochory;NA;Peltophorum dubium
zoochory;NA;Moquiniastrum polymorphum
zoochory;NA;Myracrodruon urundeuva
zoochory;mixed;Myrceugenia myrcioides
zoochory;birds;Myrcia guianensis
zoochory;birds;Myrcia hebepetala
zoochory;birds;Myrcia multiflora
zoochory;mammals;Myrcia pubipetala
zoochory;mixed;Myrcia pubipetala
zoochory;birds;Myrcia selloi
autochory;NA;Piptadenia gonoacantha
anemochory;NA;Piptocarpha axillaris
anemochory;NA;Piptocarpha macropoda
anemochory;NA;Platymiscium floribundum
anemochory;NA;Platypodium elegans
autochory;NA;Poecilanthe parviflora
zoochory;birds;Myrcia spectabilis
zoochory;birds;Myrcia splendens
anemochory;NA;Pseudobombax grandiflorum
anemochory;NA;Pseudobombax longiflorum
zoochory;mammals;Myrcia splendens
zoochory;other animals;Myrcia splendens
zoochory;NA;Myrcia spp.
zoochory;birds;Myrcia strigipes
zoochory;mixed;Myrcia strigipes
anemochory;NA;Pterogyne nitens
anemochory;NA;Pterygota brasiliensis
zoochory;birds;Myrcia tomentosa
zoochory;birds;Myrcia venulosa
anemochory;NA;Roupala montana
zoochory;mixed;Myrcianthes pungens
anemochory;NA;Ruprechtia laxiflora
zoochory;mammals;Myrciaria floribunda
zoochory;mixed;Myrciaria floribunda
zoochory;birds;Myrciaria tenella
zoochory;birds;Myrsine coriacea
anemochory;NA;Schizolobium parahyba
autochory;NA;Sebastiania brasiliensis
autochory;NA;Gymnanthes klotzschiana
autochory;NA;Gymnanthes nervosa
anemochory;NA;Seguieria langsdorffii
autochory;NA;Senna macranthera
autochory;NA;Senna multijuga
autochory;NA;Sesbania virgata
zoochory;birds;Myrsine gardneriana
zoochory;birds;Myrsine guianensis
zoochory;other animals;Myrsine guianensis
zoochory;birds;Myrsine parvifolia
zoochory;mixed;Myrsine umbellata
zoochory;birds;Myrsine umbellata
zoochory;birds;Myrsine venosa
zoochory;birds;Nectandra grandiflora
anemochory;NA;Sparattosperma leucanthum
zoochory;mammals;Nectandra lanceolata
autochory;NA;Stryphnodendron adstringens
zoochory;birds;Nectandra lanceolata
zoochory;birds;Nectandra megapotamica
anemochory;NA;Handroanthus chrysotrichus
anemochory;NA;Handroanthus heptaphyllus
anemochory;NA;Handroanthus impetiginosus
anemochory;NA;Handroanthus ochraceus
anemochory;NA;Tabebuia roseoalba
zoochory;birds;Nectandra psammophila
zoochory;mixed;Ocotea aciphylla
zoochory;birds;Ocotea aciphylla
zoochory;NA;Ocotea brachybotrya
zoochory;birds;Ocotea corymbosa
anemochory;NA;Terminalia glabrescens
anemochory;NA;Terminalia triflora
anemochory;NA;Pleroma granulosum
anemochory;NA;Tibouchina pulchra
zoochory;other animals;Ocotea corymbosa
zoochory;birds;Ocotea dispersa
zoochory;birds;Ocotea indecora
zoochory;mixed;Ocotea odorifera
zoochory;birds;Ocotea puberula
anemochory;NA;Triplaris americana
anemochory;NA;Triplaris gardneriana
zoochory;mixed;Ocotea pulchella
zoochory;birds;Ocotea teleiandra
zoochory;birds;Ocotea velutina
anemochory;NA;Vernonanthura divaricata
anemochory;NA;Vernonanthura discolor
anemochory;NA;Vernonanthura polyanthes
anemochory;NA;Vernonanthura puberula
zoochory;birds;Ormosia arborea
zoochory;birds;Ouratea castaneifolia
anemochory;NA;Vochysia tucanorum
zoochory;birds;Ouratea spectabilis
zoochory;NA;Parinari excelsa
zoochory;birds;Pera glabrata
zoochory;mixed;Phytolacca dioica
zoochory;birds;Picramnia sellowii
zoochory;birds;Pimenta pseudocaryophyllus
zoochory;bats;Piper aduncum
zoochory;mammals;Piper amalago
zoochory;bats;Piper amalago
zoochory;bats;Piper arboreum
zoochory;bats;Piper gaudichaudianum
anemochory;NA;Zeyheria tuberculosa
zoochory;NA;Platypodium elegans
autochory;NA;Bauhinia forficata
zoochory;NA;Plinia peruviana
autochory;NA;Anadenanthera colubrina
autochory;NA;Parapiptadenia rigida
anemochory;NA;Guazuma ulmifolia
autochory;NA;Esenbeckia grandiflora
anemochory;NA;Casearia gossypiosperma
zoochory;mixed;Posoqueria latifolia
zoochory;mammals;Posoqueria latifolia
zoochory;mammals;Pouteria torta
zoochory;mixed;Prockia crucis
zoochory;birds;Protium heptaphyllum
zoochory;mixed;Protium heptaphyllum
zoochory;ants;Protium heptaphyllum
zoochory;mammals;Prunus myrtifolia
zoochory;birds;Prunus myrtifolia
zoochory;NA;Pseudobombax grandiflorum
zoochory;NA;Psidium cattleianum
anemochory;NA;Piptadenia gonoacantha
autochory;NA;Esenbeckia febrifuga
autochory;NA;Pombalia atropurpurea
anemochory;NA;Cordia sellowiana
autochory;NA;Bauhinia longifolia
autochory;NA;Leucochloron incuriale
zoochory;mixed;Psidium guajava
zoochory;mammals;Psidium guajava
autochory;NA;Helicteres ovata
anemochory;NA;Aloysia virgata
anemochory;NA;Aegiphila integrifolia
zoochory;mammals;Psidium guineense
anemochory;NA;Calophyllum brasiliense
anemochory;NA;Casearia sylvestris
autochory;NA;Cecropia pachystachya
anemochory;NA;Dendropanax cuneatus
anemochory;NA;Dilodendron bipinnatum
zoochory;mammals;Psidium sartorianum
anemochory;NA;Ficus sp.2
anemochory;NA;Ficus sp.3
anemochory;NA;Genipa americana
anemochory;NA;Inga vera
anemochory;NA;Miconia albicans
zoochory;NA;Psidium spp.
anemochory;NA;Myrcia aff.
anemochory;NA;Ouratea castaneifolia
zoochory;mixed;Psychotria mapourioides
anemochory;NA;Pouteria torta
anemochory;NA;Pseudobombax cf.
anemochory;NA;Rhamnidium elaeocarpum
zoochory;birds;Psychotria vellosiana
autochory;NA;Guazuma ulmifolia
autochory;NA;Maprounea guianensis
autochory;NA;Margaritaria nobilis
anemochory;NA;Senegalia polyphylla
anemochory;NA;Cassia ferruginea
autochory;NA;Enterolobium contortisiliquum
autochory;NA;Lonchocarpus cultratus
zoochory;mammals;Rhamnidium elaeocarpum
anemochory;NA;Ocotea corymbosa
autochory;NA;Zollernia ilicifolia
anemochory;NA;Albizia niopoides
autochory;NA;Apeiba tibourbou
autochory;NA;Cabralea canjerana
anemochory;NA;Senna macranthera
zoochory;mixed;Rhamnidium elaeocarpum
zoochory;NA;Roupala montana
zoochory;birds;Rudgea jasminoides
autochory;NA;Sapium glandulosum
zoochory;NA;Ruprechtia laxiflora
anemochory;NA;Erythrina falcata
hydrochory;NA;Inga vera
anemochory;NA;Mimosa bimucronata
hydrochory;NA;Mimosa bimucronata
hydrochory;NA;Gymnanthes klotzschiana
autochory;NA;Bathysa australis
zoochory;mammals;Sapindus saponaria
zoochory;birds;Sapium glandulosum
zoochory;birds;Savia dictyocarpa
autochory;NA;Zanthoxylum rhoifolium
zoochory;birds;Schefflera morototoni
anemochory;NA;Eugenia uniflora
zoochory;birds;Schinus terebinthifolia
anemochory;NA;Ilex theezans
zoochory;birds;Schinus terebinthifolius
autochory;NA;Myrciaria tenella
anemochory;NA;Prunus myrtifolia
anemochory;NA;Schinus terebinthifolia
anemochory;NA;Sebastiania brasiliensis
zoochory;NA;Schlefflera morototoni
anemochory;NA;Aspidosperma olivaceum
anemochory;NA;Bathysa australis
zoochory;NA;Sebastiania brasiliensis
autochory;NA;Matayba guianensis
zoochory;NA;Seguieria langsdorffii
zoochory;NA;Senegalia polyphylla
zoochory;NA;Senna multijuga
zoochory;birds;Siparuna guianensis
anemochory;NA;Sloanea hirsuta
autochory;NA;Aegiphila integrifolia
autochory;NA;Alchornea triplinervia
zoochory;bats;Siparuna guianensis
autochory;NA;Hyeronima alchorneoides
zoochory;primates;Siparuna guianensis
zoochory;birds;Sloanea guianensis
zoochory;mixed;Sloanea guianensis
zoochory;birds;Sloanea hirsuta
anemochory;NA;Vernonanthura sp.
zoochory;birds;Sloanea lasiocoma
autochory;NA;Pera glabrata
autochory;NA;Cedrela fissilis
autochory;NA;Guarea macrophylla
autochory;NA;Sloanea guianensis
autochory;NA;Trichilia cf.
barochory;NA;Alchornea triplinervia
barochory;NA;Cassia ferruginea
barochory;NA;Croton floribundus
barochory;NA;Croton urucurana
barochory;NA;Esenbeckia grandiflora
zoochory;NA;Solanum americanum
zoochory;mixed;Solanum argenteum
barochory;NA;Hyeronima alchorneoides
barochory;NA;Pera glabrata
barochory;NA;Sapium glandulosum
barochory;NA;Sebastiania brasiliensis
barochory;NA;Gymnanthes klotzschiana
barochory;NA;Senna macranthera
barochory;NA;Senna multijuga
zoochory;bats;Solanum diploconos
autochory;NA;Clethra scabra
autochory;NA;Geonoma gamiova
anemochory;NA;Hyeronima alchorneoides
autochory;NA;Lamanonia ternata
autochory;NA;Machaerium stipitatum
autochory;NA;Piper aduncum
anemochory;NA;Araucaria angustifolia
zoochory;mammals;Solanum diploconos
zoochory;mixed;Solanum granulosoleprosum
zoochory;NA;Solanum mauritianum
zoochory;mixed;Sorocea bonplandii
zoochory;birds;Sorocea bonplandii
zoochory;birds;Sterculia striata
zoochory;NA;Stryphnodendron adstringens
zoochory;birds;Styrax pohlii
zoochory;mammals;Syagrus romanzoffiana
zoochory;mixed;Syagrus romanzoffiana
zoochory;birds;Symplocos estrellensis
zoochory;NA;Syzygium cumini
zoochory;NA;Tabebuia roseoalba
zoochory;birds;Tabernaemontana catharinensis
zoochory;birds;Tabernaemontana laeta
zoochory;mixed;Tapirira guianensis
zoochory;birds;Tapirira guianensis
hydrochory;NA;Hymenaea courbaril
zoochory;NA;Tapirira guineense
zoochory;mixed;Tapirira obtusa
zoochory;birds;Tapirira obtusa
zoochory;NA;Terminalia glabrescens
zoochory;birds;Trema micrantha
zoochory;NA;Trichilia casaretti
autochory;NA;Joannesia princeps
zoochory;mixed;Trichilia catigua
zoochory;mixed;Trichilia clausseni
zoochory;birds;Trichilia clausseni
barochory;NA;Clethra scabra
anemochory;NA;Zanthoxylum rhoifolium
barochory;NA;Cariniana estrellensis
barochory;NA;Cariniana legalis
abiotic;NA;Albizia pedicellaris
abiotic;NA;Alseis floribunda
abiotic;NA;Cariniana estrellensis
abiotic;NA;Cariniana legalis
abiotic;NA;Cedrela odorata
abiotic;NA;Coutarea hexandra
abiotic;NA;Diatenopteryx sorbifolia
abiotic;NA;Esenbeckia grandiflora
zoochory;mixed;Trichilia elegans
abiotic;NA;Luehea divaricata
zoochory;birds;Trichilia hirta
abiotic;NA;Margaritaria nobilis
zoochory;mixed;Trichilia pallida
zoochory;mixed;Trichilia silvatica
abiotic;NA;Pseudobombax grandiflorum
abiotic;NA;Pseudobombax longiflorum
zoochory;birds;Urera baccifera
zoochory;birds;Urera caracasana
hydrochory;NA;Roupala montana
autochory;NA;Alchornea glandulosa
hydrochory;NA;Alchornea glandulosa
autochory;NA;Alchornea sidifolia
hydrochory;NA;Alchornea sidifolia
hydrochory;NA;Alchornea triplinervia
zoochory;birds;Urera nitida
zoochory;NA;Vernonanthura discolor
zoochory;birds;Vitex megapotamica
zoochory;birds;Vitex polygama
zoochory;birds;Xylopia aromatica
zoochory;birds;Xylopia brasiliensis
zoochory;NA;Xylopia sp.
zoochory;birds;Xylosma pseudosalzmannii
zoochory;birds;Zanthoxylum acuminatum
zoochory;birds;Zanthoxylum caribaeum
zoochory;birds;Zanthoxylum fagara
zoochory;birds;Zanthoxylum monogynum
zoochory;birds;Zanthoxylum petiolare
zoochory;birds;Zanthoxylum rhoifolium
abiotic;NA;Astronium fraxinifolium
abiotic;NA;Myracrodruon urundeuva
abiotic;NA;Dasyphyllum brasiliense
abiotic;NA;Moquiniastrum polymorphum
abiotic;NA;Piptocarpha axillaris
abiotic;NA;Piptocarpha macropoda
abiotic;NA;Vernonanthura divaricata
abiotic;NA;Handroanthus chrysotrichus
abiotic;NA;Handroanthus impetiginosus
abiotic;NA;Handroanthus ochraceus
abiotic;NA;Jacaranda macrantha
anemochory;NA;Jacaranda mimosifolia
abiotic;NA;Jacaranda puberula
abiotic;NA;Sparattosperma leucanthum
abiotic;NA;Tabebuia roseoalba
abiotic;NA;Cordia trichotoma
zoochory;birds;Zanthoxylum riedelianum
abiotic;NA;Clethra scabra
abiotic;NA;Terminalia glabrescens
abiotic;NA;Lamanonia ternata
abiotic;NA;Actinostemon concolor
abiotic;NA;Croton floribundus
abiotic;NA;Mabea fistulifera
abiotic;NA;Sebastiania brasiliensis
abiotic;NA;Albizia niopoides
abiotic;NA;Anadenanthera colubrina
abiotic;NA;Anadenanthera peregrina
abiotic;NA;Bauhinia longifolia
abiotic;NA;Cassia ferruginea
autochory;NA;Cyclolobium brasiliense
abiotic;NA;Cyclolobium brasiliense
autochory;NA;Dahlstedtia pinnata
abiotic;NA;Dalbergia frutescens
abiotic;NA;Dalbergia miscolobium
abiotic;NA;Dalbergia nigra
abiotic;NA;Dalbergia villosa
abiotic;NA;Leucochloron incuriale
abiotic;NA;Lonchocarpus cultratus
abiotic;NA;Machaerium acutifolium
abiotic;NA;Machaerium brasiliense
abiotic;NA;Machaerium hirtum
abiotic;NA;Machaerium nyctitans
abiotic;NA;Machaerium stipitatum
abiotic;NA;Machaerium villosum
autochory;NA;Mimosa bimucronata
abiotic;NA;Mimosa caesalpiniifolia
abiotic;NA;Peltophorum dubium
abiotic;NA;Piptadenia gonoacantha
abiotic;NA;Platymiscium floribundum
abiotic;NA;Platypodium elegans
abiotic;NA;Pterogyne nitens
abiotic;NA;Senegalia polyphylla
abiotic;NA;Senna macranthera
abiotic;NA;Senna multijuga
abiotic;NA;Stryphnodendron adstringens
abiotic;NA;Lafoensia glyptocarpa
abiotic;NA;Lafoensia pacari
anemochory;NA;Bastardiopsis densiflora
abiotic;NA;Luehea candicans
abiotic;NA;Luehea grandiflora
abiotic;NA;Luehea paniculata
abiotic;NA;Tibouchina pulchra
zoochory;mammals;Zollernia ilicifolia
autochory;NA;Savia dictyocarpa
abiotic;NA;Gallesia integrifolia
abiotic;NA;Seguieria langsdorffii
abiotic;NA;Triplaris gardneriana
abiotic;NA;Roupala montana
abiotic;NA;Bathysa australis
abiotic;NA;Esenbeckia febrifuga
abiotic;NA;Galipea jasminiflora
abiotic;NA;Metrodorea nigra
abiotic;NA;Metrodorea stipularis
abiotic;NA;Aloysia virgata
abiotic;NA;Vochysia tucanorum
